Course,Previous qualification,Mother's qualification,Father's qualification,Scholarship holder,Curricular units 1st sem (credited),Curricular units 1st sem (grade),Unemployment rate,Inflation rate,GDP,order,value,abs_value,metric,n_train,n_test,seed
1,0,0,0,0,0,0,0,0,0,1,0.5352622061482821,0.5352622061482821,accuracy,3318,1106,42
0,1,0,0,0,0,0,0,0,0,1,0.5216998191681737,0.5216998191681737,accuracy,3318,1106,42
0,0,1,0,0,0,0,0,0,0,1,0.5099457504520796,0.5099457504520796,accuracy,3318,1106,42
0,0,0,1,0,0,0,0,0,0,1,0.5126582278481012,0.5126582278481012,accuracy,3318,1106,42
0,0,0,0,1,0,0,0,0,0,1,0.49909584086799275,0.49909584086799275,accuracy,3318,1106,42
0,0,0,0,0,1,0,0,0,0,1,0.49638336347197104,0.49638336347197104,accuracy,3318,1106,42
0,0,0,0,0,0,1,0,0,0,1,0.6292947558770343,0.6292947558770343,accuracy,3318,1106,42
0,0,0,0,0,0,0,1,0,0,1,0.49909584086799275,0.49909584086799275,accuracy,3318,1106,42
0,0,0,0,0,0,0,0,1,0,1,0.49909584086799275,0.49909584086799275,accuracy,3318,1106,42
0,0,0,0,0,0,0,0,0,1,1,0.49909584086799275,0.49909584086799275,accuracy,3318,1106,42
1,1,0,0,0,0,0,0,0,0,2,0.5560578661844484,0.5560578661844484,accuracy,3318,1106,42
1,0,1,0,0,0,0,0,0,0,2,0.5488245931283906,0.5488245931283906,accuracy,3318,1106,42
1,0,0,1,0,0,0,0,0,0,2,0.5560578661844484,0.5560578661844484,accuracy,3318,1106,42
1,0,0,0,1,0,0,0,0,0,2,0.5650994575045208,0.5650994575045208,accuracy,3318,1106,42
1,0,0,0,0,1,0,0,0,0,2,0.5379746835443038,0.5379746835443038,accuracy,3318,1106,42
1,0,0,0,0,0,1,0,0,0,2,0.6401446654611211,0.6401446654611211,accuracy,3318,1106,42
1,0,0,0,0,0,0,1,0,0,2,0.546112115732369,0.546112115732369,accuracy,3318,1106,42
1,0,0,0,0,0,0,0,1,0,2,0.5443037974683544,0.5443037974683544,accuracy,3318,1106,42
1,0,0,0,0,0,0,0,0,1,2,0.546112115732369,0.546112115732369,accuracy,3318,1106,42
0,1,1,0,0,0,0,0,0,0,2,0.5298372513562387,0.5298372513562387,accuracy,3318,1106,42
0,1,0,1,0,0,0,0,0,0,2,0.5298372513562387,0.5298372513562387,accuracy,3318,1106,42
0,1,0,0,1,0,0,0,0,0,2,0.5244122965641953,0.5244122965641953,accuracy,3318,1106,42
0,1,0,0,0,1,0,0,0,0,2,0.5207956600361664,0.5207956600361664,accuracy,3318,1106,42
0,1,0,0,0,0,1,0,0,0,2,0.6401446654611211,0.6401446654611211,accuracy,3318,1106,42
0,1,0,0,0,0,0,1,0,0,2,0.5207956600361664,0.5207956600361664,accuracy,3318,1106,42
0,1,0,0,0,0,0,0,1,0,2,0.5226039783001808,0.5226039783001808,accuracy,3318,1106,42
