C1M_on,C2M_on,C4M_on,C6M_on,E1_on,V3_on,order,value,abs_value,metric,coalition_id,class_id,k_selected,class_score_max,class_score_min,class_size
0,0,0,0,0,0,0,0.8441531746031746,0.8441531746031746,rt_mean_next_mean,EMPTY,10,20,0.8581319747840486,0.8414650108707435,4
0,0,0,0,0,1,1,0.7957637975742181,0.7957637975742181,rt_mean_next_mean,V3_on,8,20,0.8096420214566531,0.7957637975742181,4
0,0,0,0,1,0,1,0.7693390937019968,0.7693390937019968,rt_mean_next_mean,E1_on,7,20,0.779479091995221,0.7490844474787127,5
0,0,0,0,1,1,2,0.8276558666359951,0.8276558666359951,rt_mean_next_mean,E1_on|V3_on,9,20,0.8314554958183992,0.8216240287598957,4
0,0,0,1,0,0,1,0.9997986559139784,0.9997986559139784,rt_mean_next_mean,C6M_on,15,20,1.0076210120158675,0.9997986559139784,3
0,0,0,1,0,1,2,0.3668305411546338,0.3668305411546338,rt_mean_next_mean,C6M_on|V3_on,2,20,0.3668305411546338,0.3668305411546338,1
0,0,0,1,1,0,2,0.5344124423963134,0.5344124423963134,rt_mean_next_mean,C6M_on|E1_on,3,20,0.5344124423963134,0.5344124423963134,1
0,0,0,1,1,1,3,1.2653978494623657,1.2653978494623657,rt_mean_next_mean,C6M_on|E1_on|V3_on,20,20,1.2653978494623657,1.2653978494623657,1
0,0,1,0,0,0,1,0.8622016129032257,0.8622016129032257,rt_mean_next_mean,C4M_on,11,20,0.8810072108752953,0.8622016129032257,5
0,0,1,0,0,1,2,0.8945213443187637,0.8945213443187637,rt_mean_next_mean,C4M_on|V3_on,12,20,0.9147746133679734,0.8926510621749622,6
0,0,1,0,1,0,2,0.8230904761904763,0.8230904761904763,rt_mean_next_mean,C4M_on|E1_on,9,20,0.8314554958183992,0.8216240287598957,4
0,0,1,0,1,1,3,0.7490844474787127,0.7490844474787127,rt_mean_next_mean,C4M_on|E1_on|V3_on,7,20,0.779479091995221,0.7490844474787127,5
0,0,1,1,0,0,2,1.038171397151236,1.038171397151236,rt_mean_next_mean,C4M_on|C6M_on,16,20,1.0481072708653354,1.0223937371991807,6
0,0,1,1,0,1,3,0.7720371463773682,0.7720371463773682,rt_mean_next_mean,C4M_on|C6M_on|V3_on,7,20,0.779479091995221,0.7490844474787127,5
