C1M_on,C2M_on,C3M_on,C4M_on,C5M_on,C6M_on,C7M_on,C8EV_on,E1_on,H3_on,H6M_on,V3_on,V4_on,order,value,abs_value,metric,n_train,coalition_id,class_id,k_selected,class_score_max,class_score_min,class_size
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6074776800260671,0.6074776800260671,rt_mean_next_mean,66,V3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.1863566308243727,1.1863566308243727,rt_mean_next_mean,6,V3_on|V4_on,8,10,1.269462365591398,1.120225806451613,75
0,0,0,0,0,0,0,0,0,0,1,1,0,2,0.6533784663271082,0.6533784663271082,rt_mean_next_mean,76,H6M_on|V3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,0,0,0,0,0,0,0,1,1,1,3,0.8219601859924441,0.8219601859924441,rt_mean_next_mean,37,H6M_on|V3_on|V4_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,0,0,0,0,0,0,0,1,0,1,0,2,0.640665012406948,0.640665012406948,rt_mean_next_mean,13,H3_on|V3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,0,0,0,0,0,0,1,0,1,1,3,0.5488763440860215,0.5488763440860215,rt_mean_next_mean,8,H3_on|V3_on|V4_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,0,0,0,0,0,0,1,1,1,0,3,0.6998549123582265,0.6998549123582265,rt_mean_next_mean,73,H3_on|H6M_on|V3_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,0,0,0,0,0,0,0,1,1,1,1,4,0.7186782464846981,0.7186782464846981,rt_mean_next_mean,26,H3_on|H6M_on|V3_on|V4_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,0,0,0,0,0,0,1,0,0,1,0,2,0.8628069892473118,0.8628069892473118,rt_mean_next_mean,20,E1_on|V3_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,0,0,0,0,0,0,1,0,1,1,0,3,0.8810597057159028,0.8810597057159028,rt_mean_next_mean,38,E1_on|H6M_on|V3_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,0,0,0,0,0,0,1,0,1,1,1,4,0.9229677419354838,0.9229677419354838,rt_mean_next_mean,9,E1_on|H6M_on|V3_on|V4_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.6935400238948626,0.6935400238948626,rt_mean_next_mean,9,E1_on|H3_on|V3_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,0,0,0,0,0,0,1,1,0,1,1,4,0.963,0.963,rt_mean_next_mean,1,E1_on|H3_on|V3_on|V4_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,0,0,0,0,0,0,1,1,1,1,0,4,0.7961245519713261,0.7961245519713261,rt_mean_next_mean,36,E1_on|H3_on|H6M_on|V3_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,0,0,0,0,0,0,1,1,1,1,1,5,0.977720430107527,0.977720430107527,rt_mean_next_mean,17,E1_on|H3_on|H6M_on|V3_on|V4_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8456967741935484,0.8456967741935484,rt_mean_next_mean,10,C8EV_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,0,0,0,0,0,1,0,0,0,1,0,2,0.4776003659528327,0.4776003659528327,rt_mean_next_mean,34,C8EV_on|V3_on,2,10,0.4776003659528327,0.2309354838709677,25
0,0,0,0,0,0,0,1,0,0,0,1,1,3,0.0125779569892473,0.0125779569892473,rt_mean_next_mean,8,C8EV_on|V3_on|V4_on,1,10,0.2043620071684588,0.0,30
0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.917741935483871,0.917741935483871,rt_mean_next_mean,1,C8EV_on|H6M_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,0,0,0,0,0,1,0,0,1,1,0,3,0.5680767007732563,0.5680767007732563,rt_mean_next_mean,118,C8EV_on|H6M_on|V3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,0,0,0,0,1,0,0,1,1,1,4,0.6661379928315413,0.6661379928315413,rt_mean_next_mean,12,C8EV_on|H6M_on|V3_on|V4_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,0,0,0,0,1,0,1,0,1,0,3,1.004504181600956,1.004504181600956,rt_mean_next_mean,9,C8EV_on|H3_on|V3_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,0,0,0,0,0,1,0,1,1,0,0,3,0.9767859447004608,0.9767859447004608,rt_mean_next_mean,10,C8EV_on|H3_on|H6M_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,0,0,0,0,0,1,0,1,1,1,0,4,0.7242907169842654,0.7242907169842654,rt_mean_next_mean,74,C8EV_on|H3_on|H6M_on|V3_on,4,10,0.8024135944700461,0.6738709677419356,79
