Region,Soil_Type,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,order,value,abs_value,metric,n_train,n_test,seed,class_id
1,0,0,0,0,0,0,1,1.372374367162854,1.372374367162854,mae,75000,25000,42,6
0,1,0,0,0,0,0,1,1.37240728592885,1.37240728592885,mae,75000,25000,42,6
0,0,1,0,0,0,0,1,0.8947527218622209,0.8947527218622209,mae,75000,25000,42,4
0,0,0,1,0,0,0,1,1.3692784313546151,1.3692784313546151,mae,75000,25000,42,6
0,0,0,0,1,0,0,1,1.252095503968048,1.252095503968048,mae,75000,25000,42,5
0,0,0,0,0,1,0,1,1.2974975387464789,1.2974975387464789,mae,75000,25000,42,6
0,0,0,0,0,0,1,1,1.372413373839766,1.372413373839766,mae,75000,25000,42,6
1,1,0,0,0,0,0,2,1.3727509997989982,1.3727509997989982,mae,75000,25000,42,6
1,0,1,0,0,0,0,2,0.8951233414330553,0.8951233414330553,mae,75000,25000,42,4
1,0,0,1,0,0,0,2,1.3690790145364349,1.3690790145364349,mae,75000,25000,42,6
1,0,0,0,1,0,0,2,1.2525154258204818,1.2525154258204818,mae,75000,25000,42,5
1,0,0,0,0,1,0,2,1.297588346444274,1.297588346444274,mae,75000,25000,42,6
1,0,0,0,0,0,1,2,1.3724613174320528,1.3724613174320528,mae,75000,25000,42,6
0,1,1,0,0,0,0,2,0.8952414964981699,0.8952414964981699,mae,75000,25000,42,4
0,1,0,1,0,0,0,2,1.368626179362772,1.368626179362772,mae,75000,25000,42,6
0,1,0,0,1,0,0,2,1.2523112146438686,1.2523112146438686,mae,75000,25000,42,5
0,1,0,0,0,1,0,2,1.2975753896102753,1.2975753896102753,mae,75000,25000,42,6
0,1,0,0,0,0,1,2,1.3726868568643418,1.3726868568643418,mae,75000,25000,42,6
0,0,1,1,0,0,0,2,0.8883503945485596,0.8883503945485596,mae,75000,25000,42,4
0,0,1,0,1,0,0,2,0.662500869543206,0.662500869543206,mae,75000,25000,42,2
0,0,1,0,0,1,0,2,0.7824758580550689,0.7824758580550689,mae,75000,25000,42,3
0,0,1,0,0,0,1,2,0.8947055813462323,0.8947055813462323,mae,75000,25000,42,4
0,0,0,1,1,0,0,2,1.24807666218394,1.24807666218394,mae,75000,25000,42,5
0,0,0,1,0,1,0,2,1.29242603713292,1.29242603713292,mae,75000,25000,42,6
0,0,0,1,0,0,1,2,1.3697147010539854,1.3697147010539854,mae,75000,25000,42,6
0,0,0,0,1,1,0,2,1.1729312283086772,1.1729312283086772,mae,75000,25000,42,5
0,0,0,0,1,0,1,2,1.2519869245850073,1.2519869245850073,mae,75000,25000,42,5
0,0,0,0,0,1,1,2,1.2975160631679017,1.2975160631679017,mae,75000,25000,42,6
1,1,1,0,0,0,0,3,0.8957942637444085,0.8957942637444085,mae,75000,25000,42,4
1,1,0,1,0,0,0,3,1.3689965035932368,1.3689965035932368,mae,75000,25000,42,6
1,1,0,0,1,0,0,3,1.2529592763796535,1.2529592763796535,mae,75000,25000,42,5
1,1,0,0,0,1,0,3,1.298550673797407,1.298550673797407,mae,75000,25000,42,6
1,1,0,0,0,0,1,3,1.3732228909298123,1.3732228909298123,mae,75000,25000,42,6
1,0,1,1,0,0,0,3,0.8894072464320664,0.8894072464320664,mae,75000,25000,42,4
1,0,1,0,1,0,0,3,0.6629914306947292,0.6629914306947292,mae,75000,25000,42,2
1,0,1,0,0,1,0,3,0.7828846755155806,0.7828846755155806,mae,75000,25000,42,3
1,0,1,0,0,0,1,3,0.895389761250632,0.895389761250632,mae,75000,25000,42,4
1,0,0,1,1,0,0,3,1.249185078938936,1.249185078938936,mae,75000,25000,42,5
1,0,0,1,0,1,0,3,1.293744889152568,1.293744889152568,mae,75000,25000,42,6
1,0,0,1,0,0,1,3,1.3695128833254109,1.3695128833254109,mae,75000,25000,42,6
1,0,0,0,1,1,0,3,1.1732875431009306,1.1732875431009306,mae,75000,25000,42,5
1,0,0,0,1,0,1,3,1.252599437351599,1.252599437351599,mae,75000,25000,42,5
1,0,0,0,0,1,1,3,1.2977580723384874,1.2977580723384874,mae,75000,25000,42,6
0,1,1,1,0,0,0,3,0.8891876211258737,0.8891876211258737,mae,75000,25000,42,4
0,1,1,0,1,0,0,3,0.6633919184728874,0.6633919184728874,mae,75000,25000,42,2
0,1,1,0,0,1,0,3,0.7825782042885716,0.7825782042885716,mae,75000,25000,42,3
0,1,1,0,0,0,1,3,0.8953788614610044,0.8953788614610044,mae,75000,25000,42,4
0,1,0,1,1,0,0,3,1.2486318428062766,1.2486318428062766,mae,75000,25000,42,5
0,1,0,1,0,1,0,3,1.2932432998399326,1.2932432998399326,mae,75000,25000,42,6
0,1,0,1,0,0,1,3,1.3699910987349122,1.3699910987349122,mae,75000,25000,42,6
0,1,0,0,1,1,0,3,1.173263919363838,1.173263919363838,mae,75000,25000,42,5
0,1,0,0,1,0,1,3,1.252517783721311,1.252517783721311,mae,75000,25000,42,5
0,1,0,0,0,1,1,3,1.2977417733400434,1.2977417733400434,mae,75000,25000,42,6
0,0,1,1,1,0,0,3,0.655799798814166,0.655799798814166,mae,75000,25000,42,2
0,0,1,1,0,1,0,3,0.7776021978457868,0.7776021978457868,mae,75000,25000,42,3
0,0,1,1,0,0,1,3,0.88905727443279,0.88905727443279,mae,75000,25000,42,4
0,0,1,0,1,1,0,3,0.4165523369745997,0.4165523369745997,mae,75000,25000,42,1
0,0,1,0,1,0,1,3,0.6629194932246799,0.6629194932246799,mae,75000,25000,42,2
0,0,1,0,0,1,1,3,0.7824140698673501,0.7824140698673501,mae,75000,25000,42,3
0,0,0,1,1,1,0,3,1.169457940402087,1.169457940402087,mae,75000,25000,42,5
0,0,0,1,1,0,1,3,1.248362773264211,1.248362773264211,mae,75000,25000,42,5
0,0,0,1,0,1,1,3,1.2932200698197989,1.2932200698197989,mae,75000,25000,42,6
0,0,0,0,1,1,1,3,1.1729209347232616,1.1729209347232616,mae,75000,25000,42,5
1,1,1,1,0,0,0,4,0.8893298508635615,0.8893298508635615,mae,75000,25000,42,4
1,1,1,0,1,0,0,4,0.6635889425507467,0.6635889425507467,mae,75000,25000,42,2
1,1,1,0,0,1,0,4,0.7829449923787007,0.7829449923787007,mae,75000,25000,42,3
1,1,1,0,0,0,1,4,0.8959680170254738,0.8959680170254738,mae,75000,25000,42,4
1,1,0,1,1,0,0,4,1.249372570361522,1.249372570361522,mae,75000,25000,42,5
1,1,0,1,0,1,0,4,1.2942672033742575,1.2942672033742575,mae,75000,25000,42,6
1,1,0,1,0,0,1,4,1.369974380284957,1.369974380284957,mae,75000,25000,42,6
1,1,0,0,1,1,0,4,1.1745433694993033,1.1745433694993033,mae,75000,25000,42,5
1,1,0,0,1,0,1,4,1.253684986710834,1.253684986710834,mae,75000,25000,42,5
1,1,0,0,0,1,1,4,1.2991772799476748,1.2991772799476748,mae,75000,25000,42,6
1,0,1,1,1,0,0,4,0.656063734025211,0.656063734025211,mae,75000,25000,42,2
1,0,1,1,0,1,0,4,0.777939362961138,0.777939362961138,mae,75000,25000,42,3
1,0,1,1,0,0,1,4,0.8894952433110912,0.8894952433110912,mae,75000,25000,42,4
1,0,1,0,1,1,0,4,0.4168984127201237,0.4168984127201237,mae,75000,25000,42,1
1,0,1,0,1,0,1,4,0.663117586779022,0.663117586779022,mae,75000,25000,42,2
1,0,1,0,0,1,1,4,0.7828545906364412,0.7828545906364412,mae,75000,25000,42,3
1,0,0,1,1,1,0,4,1.170332414103838,1.170332414103838,mae,75000,25000,42,5
1,0,0,1,1,0,1,4,1.2492356364419717,1.2492356364419717,mae,75000,25000,42,5
1,0,0,1,0,1,1,4,1.2941005877525862,1.2941005877525862,mae,75000,25000,42,6
1,0,0,0,1,1,1,4,1.1737533445812909,1.1737533445812909,mae,75000,25000,42,5
0,1,1,1,1,0,0,4,0.6563092673873798,0.6563092673873798,mae,75000,25000,42,2
