high_rain_region,irrigation_used,fertilizer_used,improved_soil,order,value,abs_value,metric,n_train,n_test,seed,class_id
0,0,0,0,0,2.155382693604664,2.155382693604664,mean_yield,17341,0,42,5
0,0,0,1,1,2.14574480140856,2.14574480140856,mean_yield,3323,0,42,5
0,0,1,0,1,3.650273315322509,3.650273315322509,mean_yield,16992,0,42,4
0,1,0,0,1,3.350382174760897,3.350382174760897,mean_yield,17147,0,42,4
1,0,0,0,1,4.400053550873457,4.400053550873457,mean_yield,17699,0,42,3
0,0,1,1,2,3.6654057613382047,3.6654057613382047,mean_yield,3464,0,42,4
0,1,0,1,2,3.363086750233605,3.363086750233605,mean_yield,3360,0,42,4
0,1,1,0,2,4.85741555328886,4.85741555328886,mean_yield,17155,0,42,3
1,0,0,1,2,4.43434896287077,4.43434896287077,mean_yield,3578,0,42,3
1,0,1,0,2,5.8929695684188905,5.8929695684188905,mean_yield,17504,0,42,2
1,1,0,0,2,5.610777542616886,5.610777542616886,mean_yield,17623,0,42,2
0,1,1,1,3,4.8295068721341705,4.8295068721341705,mean_yield,3468,0,42,3
1,0,1,1,3,5.89806082939338,5.89806082939338,mean_yield,3518,0,42,2
1,1,0,1,3,5.60447483664854,5.60447483664854,mean_yield,3599,0,42,2
1,1,1,0,3,7.10200467277506,7.10200467277506,mean_yield,17455,0,42,1
1,1,1,1,4,7.1099614822902275,7.1099614822902275,mean_yield,3598,0,42,1
