category,subcategory_1,type_1,material_1,region,owner,age,years_since_major_rehab,deck_length_m,span_count,order,value,abs_value,metric,n_train,n_test,seed
1,0,0,0,0,0,0,0,0,0,1,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
0,1,0,0,0,0,0,0,0,0,1,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
0,0,1,0,0,0,0,0,0,0,1,0.6477181745396317,0.6477181745396317,accuracy,3744,1249,42
0,0,0,1,0,0,0,0,0,0,1,0.6549239391513211,0.6549239391513211,accuracy,3744,1249,42
0,0,0,0,1,0,0,0,0,0,1,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
0,0,0,0,0,1,0,0,0,0,1,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
0,0,0,0,0,0,1,0,0,0,1,0.7790232185748599,0.7790232185748599,accuracy,3744,1249,42
0,0,0,0,0,0,0,1,0,0,1,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
0,0,0,0,0,0,0,0,1,0,1,0.6140912730184147,0.6140912730184147,accuracy,3744,1249,42
0,0,0,0,0,0,0,0,0,1,1,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
1,1,1,0,0,1,0,1,1,1,7,0.6573258606885508,0.6573258606885508,accuracy,3744,1249,42
1,1,0,1,1,1,0,0,1,0,6,0.6749399519615693,0.6749399519615693,accuracy,3744,1249,42
1,1,1,0,1,1,0,0,1,0,6,0.6461168935148118,0.6461168935148118,accuracy,3744,1249,42
0,0,0,0,0,0,1,1,0,0,2,0.7870296236989591,0.7870296236989591,accuracy,3744,1249,42
0,1,0,0,1,1,1,0,1,0,5,0.7798238590872698,0.7798238590872698,accuracy,3744,1249,42
1,0,0,1,1,0,1,1,1,0,6,0.7942353883106485,0.7942353883106485,accuracy,3744,1249,42
1,1,1,1,1,1,0,0,1,1,8,0.6917534027221778,0.6917534027221778,accuracy,3744,1249,42
0,1,1,0,1,1,1,1,1,1,8,0.7926341072858286,0.7926341072858286,accuracy,3744,1249,42
0,0,1,1,1,1,1,1,1,1,8,0.7974379503602882,0.7974379503602882,accuracy,3744,1249,42
0,0,0,1,1,1,1,1,0,0,5,0.7910328262610088,0.7910328262610088,accuracy,3744,1249,42
1,0,1,1,0,0,1,0,1,1,6,0.7774219375500401,0.7774219375500401,accuracy,3744,1249,42
0,0,0,1,0,0,0,0,1,1,3,0.6645316253002402,0.6645316253002402,accuracy,3744,1249,42
1,1,1,1,1,1,0,1,1,1,9,0.6941553242594075,0.6941553242594075,accuracy,3744,1249,42
1,1,1,0,0,0,0,0,0,1,4,0.6461168935148118,0.6461168935148118,accuracy,3744,1249,42
1,1,0,1,1,0,1,0,1,1,7,0.789431545236189,0.789431545236189,accuracy,3744,1249,42
0,0,1,0,0,0,1,0,0,1,3,0.7758206565252201,0.7758206565252201,accuracy,3744,1249,42
1,1,1,1,1,1,1,1,1,1,10,0.7958366693354684,0.7958366693354684,accuracy,3744,1249,42
1,1,0,0,1,0,0,0,1,1,5,0.6397117694155324,0.6397117694155324,accuracy,3744,1249,42
0,0,1,0,0,1,0,0,1,0,3,0.6485188150520417,0.6485188150520417,accuracy,3744,1249,42
0,0,0,0,1,0,0,0,1,0,2,0.6180944755804644,0.6180944755804644,accuracy,3744,1249,42
0,1,1,1,0,1,1,1,1,1,8,0.7822257806244995,0.7822257806244995,accuracy,3744,1249,42
0,1,1,0,0,1,1,0,1,0,5,0.77662129703763,0.77662129703763,accuracy,3744,1249,42
0,0,1,0,0,0,0,0,0,1,2,0.6469175340272217,0.6469175340272217,accuracy,3744,1249,42
1,0,1,0,1,1,0,1,1,0,6,0.6605284227381906,0.6605284227381906,accuracy,3744,1249,42
1,1,1,1,1,0,0,1,1,1,8,0.6933546837469976,0.6933546837469976,accuracy,3744,1249,42
0,0,0,1,1,0,0,1,0,1,4,0.6789431545236189,0.6789431545236189,accuracy,3744,1249,42
1,1,1,1,1,0,1,1,1,1,9,0.7950360288230585,0.7950360288230585,accuracy,3744,1249,42
1,1,1,1,1,1,1,0,0,1,8,0.7870296236989591,0.7870296236989591,accuracy,3744,1249,42
1,1,0,0,0,1,1,0,1,0,5,0.7806244995996797,0.7806244995996797,accuracy,3744,1249,42
1,1,1,1,1,1,1,0,1,1,9,0.7910328262610088,0.7910328262610088,accuracy,3744,1249,42
0,1,0,1,1,1,1,1,0,0,6,0.7926341072858286,0.7926341072858286,accuracy,3744,1249,42
1,0,1,1,1,1,0,1,1,1,8,0.6941553242594075,0.6941553242594075,accuracy,3744,1249,42
0,1,0,0,0,1,0,0,0,0,2,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
0,0,0,1,0,1,1,0,0,1,4,0.7734187349879904,0.7734187349879904,accuracy,3744,1249,42
0,1,0,1,0,0,0,0,0,1,3,0.6717373899119295,0.6717373899119295,accuracy,3744,1249,42
0,0,0,0,0,1,0,0,0,1,2,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
0,0,1,1,1,0,0,0,0,0,3,0.6869495596477182,0.6869495596477182,accuracy,3744,1249,42
0,0,1,1,1,0,1,0,1,1,6,0.7886309047237791,0.7886309047237791,accuracy,3744,1249,42
1,1,1,0,0,0,0,1,1,1,6,0.6589271417133707,0.6589271417133707,accuracy,3744,1249,42
1,0,0,1,0,0,0,0,1,0,3,0.655724579663731,0.655724579663731,accuracy,3744,1249,42
1,0,1,1,1,1,1,1,1,1,9,0.7966373098478783,0.7966373098478783,accuracy,3744,1249,42
0,0,0,1,1,1,0,1,1,1,6,0.6853482786228983,0.6853482786228983,accuracy,3744,1249,42
0,0,1,1,0,0,1,0,0,1,4,0.7854283426741393,0.7854283426741393,accuracy,3744,1249,42
1,1,0,0,1,1,1,0,1,1,7,0.7838270616493195,0.7838270616493195,accuracy,3744,1249,42
1,1,0,1,1,1,1,1,1,1,9,0.7902321857485989,0.7902321857485989,accuracy,3744,1249,42
0,0,1,0,1,1,1,1,0,1,6,0.7910328262610088,0.7910328262610088,accuracy,3744,1249,42
1,1,0,0,0,1,1,1,1,0,6,0.7798238590872698,0.7798238590872698,accuracy,3744,1249,42
0,1,0,0,0,1,1,1,1,0,5,0.77662129703763,0.77662129703763,accuracy,3744,1249,42
0,1,1,1,1,0,1,1,1,1,8,0.7966373098478783,0.7966373098478783,accuracy,3744,1249,42
1,1,0,0,0,1,0,0,0,1,4,0.6293034427542034,0.6293034427542034,accuracy,3744,1249,42
1,0,1,0,1,1,1,1,1,0,7,0.7966373098478783,0.7966373098478783,accuracy,3744,1249,42
0,0,0,1,1,0,0,1,0,0,3,0.6645316253002402,0.6645316253002402,accuracy,3744,1249,42
0,0,0,1,0,0,1,1,0,1,4,0.7862289831865492,0.7862289831865492,accuracy,3744,1249,42
1,1,1,1,1,1,1,1,1,0,9,0.7958366693354684,0.7958366693354684,accuracy,3744,1249,42
1,0,0,0,0,0,0,0,1,0,2,0.622097678142514,0.622097678142514,accuracy,3744,1249,42
1,1,0,0,0,0,1,0,0,0,3,0.7758206565252201,0.7758206565252201,accuracy,3744,1249,42
1,1,1,1,0,1,0,1,1,1,8,0.688550840672538,0.688550840672538,accuracy,3744,1249,42
0,0,0,0,1,1,1,0,1,0,4,0.7790232185748599,0.7790232185748599,accuracy,3744,1249,42
0,0,0,1,1,0,0,1,1,1,5,0.6797437950360288,0.6797437950360288,accuracy,3744,1249,42
1,0,1,0,1,0,1,0,0,0,4,0.7854283426741393,0.7854283426741393,accuracy,3744,1249,42
1,0,0,1,0,1,0,0,0,0,3,0.6629303442754203,0.6629303442754203,accuracy,3744,1249,42
0,0,0,0,1,0,1,1,0,1,4,0.7926341072858286,0.7926341072858286,accuracy,3744,1249,42
1,1,1,1,1,1,1,1,0,1,9,0.7942353883106485,0.7942353883106485,accuracy,3744,1249,42
0,1,1,0,1,0,1,0,1,0,5,0.7886309047237791,0.7886309047237791,accuracy,3744,1249,42
1,0,0,1,1,0,1,0,1,1,6,0.7902321857485989,0.7902321857485989,accuracy,3744,1249,42
1,1,1,1,1,1,0,1,1,0,8,0.6957566052842273,0.6957566052842273,accuracy,3744,1249,42
0,1,1,1,0,0,0,1,0,1,5,0.6917534027221778,0.6917534027221778,accuracy,3744,1249,42
0,1,1,0,0,0,0,0,0,1,3,0.6461168935148118,0.6461168935148118,accuracy,3744,1249,42
1,0,1,1,0,0,0,1,1,1,6,0.6861489191353083,0.6861489191353083,accuracy,3744,1249,42
1,1,0,1,1,1,0,1,0,1,7,0.6861489191353083,0.6861489191353083,accuracy,3744,1249,42
