Alcohol,Malicacid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,0D280_0D315_of_diluted_wines,Proline,order,value,abs_value,metric,n_train,n_test,seed,class_id
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,accuracy,133,45,42,19
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6444444444444445,0.6444444444444445,accuracy,133,45,42,16
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5555555555555556,0.5555555555555556,accuracy,133,45,42,18
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2888888888888888,0.2888888888888888,accuracy,133,45,42,20
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5777777777777777,0.5777777777777777,accuracy,133,45,42,18
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4666666666666667,0.4666666666666667,accuracy,133,45,42,19
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6222222222222222,0.6222222222222222,accuracy,133,45,42,17
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7777777777777778,0.7777777777777778,accuracy,133,45,42,11
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.4222222222222222,0.4222222222222222,accuracy,133,45,42,19
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5555555555555556,0.5555555555555556,accuracy,133,45,42,18
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6666666666666666,0.6666666666666666,accuracy,133,45,42,16
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5555555555555556,0.5555555555555556,accuracy,133,45,42,18
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6888888888888889,0.6888888888888889,accuracy,133,45,42,15
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7333333333333333,0.7333333333333333,accuracy,133,45,42,13
1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.6888888888888889,0.6888888888888889,accuracy,133,45,42,15
1,0,1,0,0,0,0,0,0,0,0,0,0,2,0.7111111111111111,0.7111111111111111,accuracy,133,45,42,14
1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.7777777777777778,0.7777777777777778,accuracy,133,45,42,11
1,0,0,0,1,0,0,0,0,0,0,0,0,2,0.6888888888888889,0.6888888888888889,accuracy,133,45,42,15
1,0,0,0,0,1,0,0,0,0,0,0,0,2,0.8222222222222222,0.8222222222222222,accuracy,133,45,42,9
1,0,0,0,0,0,1,0,0,0,0,0,0,2,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,0,0,0,0,0,1,0,0,0,0,0,2,0.7111111111111111,0.7111111111111111,accuracy,133,45,42,14
1,0,0,0,0,0,0,0,1,0,0,0,0,2,0.7777777777777778,0.7777777777777778,accuracy,133,45,42,11
